test_image,best_train_match,ransac_inliers,verdict,above_threshold_25,score_provenance
caries-27-_jpeg.rf.f6d48215f7b16c1e68d08e0228d9b76b.jpg,caries-97-_jpeg.rf.7d40f77108ff4e7e38355d6d45ef575f.jpg,194,duplicate,yes,original_run
tooth_discolation-1353-_jpeg.rf.e55f1c2cd4d9cf28a74d524a80ee0b7d.jpg,tooth_discolation-1358-_jpeg.rf.cb362767942aac264e58c6ef86a56d3e.jpg,188,duplicate,yes,original_run
tooth_discolation-738-_jpeg.rf.e5d91688640b775fe0dfb055452d524a.jpg,tooth_discolation-930-_jpeg.rf.3001268290c9abafa5ee74fe0ec7e088.jpg,188,duplicate,yes,original_run
tooth_discolation-757-_jpeg.rf.2dda5741cf8ae2ddeb183840dd691842.jpg,tooth_discolation-220-_jpeg.rf.ee4a1f60dd7ff50e54f06b689dd59f8d.jpg,187,duplicate,yes,original_run
tooth_discolation-230-_jpeg.rf.09ad477ceb111fbf42244c2e51011312.jpg,tooth_discolation-9-_jpeg.rf.13bd82e172980960ad785d3b918deccb.jpg,182,duplicate,yes,original_run
gingilagi-246-_jpg.rf.ba0e21eaf7f8a7b726217d055f93885b.jpg,gingilagi-245-_jpg.rf.e09480c0e78621ae2974d6e68237af15.jpg,182,duplicate,yes,original_run
gingilagi-115-_jpg.rf.11e86b5601c148d774340bbd5cbc8481.jpg,gingilagi-129-_jpg.rf.0f15fe4ff8e911dcd6ea57eca4fd3e8b.jpg,181,duplicate,yes,original_run
hypodontia-1104-_JPG.rf.ef5f7246d4ba271e2073e4d7f912e845.jpg,hypodontia-965-_JPG.rf.d07ba53770740f15c33b2c59390661db.jpg,178,duplicate,yes,original_run
caries-1713-_jpeg.rf.d0a978001be145d01c63ec021637bdde.jpg,caries-1909-_jpeg.rf.ced1ed2243d600e53af9118a17f5505f.jpg,176,duplicate,yes,original_run
caries-78-_jpeg.rf.d1ac27ce24fdbebe54a49bc2fdf908dd.jpg,caries-591-_jpeg.rf.3d39edde7a5a95e60ee3de5b70ab2ad5.jpg,172,duplicate,yes,original_run
tooth_discolation-63-_jpeg.rf.36c26db48876ecf170380757db18be0f.jpg,tooth_discolation-597-_jpeg.rf.a99410e063a6e77c6a191d6067e3512b.jpg,165,duplicate,yes,original_run
gingilagi-289-_jpg.rf.541b47807ac100ac931d8ad3b2ca5bb2.jpg,gingilagi-290-_jpg.rf.5fe4eae07a33f96735825a36c3d0af5d.jpg,163,duplicate,yes,original_run
ulcer-713-_jpeg.rf.ef96f870476a554092bfae32662f78bd.jpg,ulcer-1590-_jpeg.rf.fb47219df316855f746e6f6ec4116f1b.jpg,161,duplicate,yes,original_run
ulcer-2262-_jpeg.rf.e626ce4be561aeea2d7acebb59abd5eb.jpg,ulcer-510-_jpeg.rf.ee7ae17a489096e3a879c15fab553360.jpg,161,duplicate,yes,original_run
caries-1080-_jpeg.rf.d5ce689c97eb08e1fb9467192589b5c0.jpg,caries-846-_jpeg.rf.6159c40ba245ce1f9be7d3319f5dc967.jpg,159,duplicate,yes,original_run
caries-1488-_jpeg.rf.04355cb315d591b412410c63f7a04521.jpg,caries-1096-_jpeg.rf.17472da15783aed54f8339f5466f778e.jpg,156,duplicate,yes,original_run
calculus-1082-_jpg.rf.f0eabeb4bd287afe129e72e1228bfabe.jpg,calculus-74-_jpg.rf.d8bc08c0de750cdda278e5597a0faba7.jpg,155,duplicate,yes,original_run
caries-1975-_jpeg.rf.b1b4d02e6c2d63bad3770443c3aefe26.jpg,caries-1880-_jpeg.rf.22f8c5cd4a5b879daf0b83a68c3a43d2.jpg,155,duplicate,yes,original_run
tooth_discolation-1476-_jpeg.rf.c374a62829165451d38b1421d547d80c.jpg,tooth_discolation-845-_jpeg.rf.2ec86bf73e6ea18aa6e0bd64e3214c3f.jpg,150,duplicate,yes,original_run
tooth_discolation-383-_jpeg.rf.d1376f92ffb78ec9cfda1d6258b08d7d.jpg,tooth_discolation-118-_jpeg.rf.ef6de8b3cba296f58fdfff7cff63073a.jpg,143,duplicate,yes,original_run
caries-2241-_jpeg.rf.e859c0735f6bc994090eeebda124e1e6.jpg,caries-846-_jpeg.rf.6159c40ba245ce1f9be7d3319f5dc967.jpg,140,duplicate,yes,original_run
caries-30-_jpeg.rf.db687db3ba9f5e05db6be7848352ddb9.jpg,caries-728-_jpeg.rf.c0bf8446c9db15626a611b12efa89bf7.jpg,140,duplicate,yes,original_run
tooth_discolation-660-_jpeg.rf.19da79d57c4613b8d8da2c8fa6f1e930.jpg,tooth_discolation-807-_jpeg.rf.be4d411b16d4411c14d340049e0eabb5.jpg,139,duplicate,yes,original_run
hypodontia-702-_JPG.rf.0bbab7cae3f2d308b7d5b99bb9a29d5e.jpg,hypodontia-563-_JPG.rf.3e4048d61970f69e30756b56862599b7.jpg,136,duplicate,yes,original_run
caries-2362-_jpeg.rf.578aa1b39eff9b2d7b43d899b3529c18.jpg,caries-1511-_jpeg.rf.4a00d421da9396c760a733abc56bfbf1.jpg,132,duplicate,yes,original_run
caries-1230-_jpeg.rf.655a72abca93d76aa596f66e756e93b2.jpg,caries-752-_jpeg.rf.136a880e3dd34b7e41266c8ad0e46b7f.jpg,130,duplicate,yes,original_run
caries-1643-_jpeg.rf.d0f1de90e4ad173c3731ea561461ab2c.jpg,caries-131-_jpeg.rf.2a90985d5e351964f95be9342d61e190.jpg,126,duplicate,yes,original_run
caries-394-_jpeg.rf.cf60716a257b6228166740f446646fcd.jpg,caries-2214-_jpeg.rf.4f87367260051dca8f828bd4fa5e1475.jpg,124,duplicate,yes,original_run
ulcer-1667-_jpeg.rf.109d9afb65c099fb3cee21b45cb30035.jpg,ulcer-375-_jpeg.rf.4a88cd29127bb2bfe4ea6050c032f98d.jpg,123,duplicate,yes,original_run
ulcer-1940-_jpeg.rf.97864ecc16dd931c1f1d03857d991a81.jpg,ulcer-1613-_jpeg.rf.74df036190ea5f225460e100743bbe2a.jpg,122,duplicate,yes,original_run
tooth_discolation-795-_jpeg.rf.4f6e34fba25859e3554ca3a1a7163c5d.jpg,tooth_discolation-409-_jpeg.rf.e1f70c7fa6e8afe5df102ced82e36829.jpg,122,duplicate,yes,original_run
